PTV 12nc nr     GIT vare nr
4008 100 09780	581-6102
4008 100 09800	581-4331
4008 100 09810	281-09810
4008 100 09820	281-09820
4008 100 09830	281-09830
4008 100 09860	579-347
4008 100 09870	579-602
4008 100 09880	581-833
4008 100 09890	581-7106
4008 100 09900	581-A1272
4008 100 10940	285-10940
4008 100 10950	285-10950
4008 100 11080	281-11080
4008 100 11120	285-11120
4008 100 11300	281-11300
4008 100 11540	285-11540
4008 100 11760	281-11760
4008 100 11820	281-11820
4008 100 11900	285-11900
4008 100 11910	281-11910
4008 100 11920	285-11920
4008 100 11930	285-11930
4008 100 11940	285-11940
4008 100 11960	285-11960
4008 100 11970	285-11970
4008 100 11980	285-11980
4008 100 12030	285-12030
4008 100 12040	383-12040
4008 100 12050	281-12050
4008 100 12060	285-12060
4008 100 12090	383-DT7713004
4008 100 12100	383-FT14320099
4008 100 12160	285-12160
4008 100 12220	281-12220
4008 100 12340	285-12340
4008 100 12370	585-PE65508
4008 100 12380	585-T11T
4008 100 12390	585-TC414
4008 100 20060	581-SLF7045
4008 100 70150	504-2243
4008 100 70160	504-2562
4008 100 70180	503-633
4008 100 70210	504-2150
4008 100 70230	504-000
4008 100 70250	504-3200
4008 100 70260	211-H378
4008 100 70280	211-H380
4008 100 70290	504-1100
4008 100 70300	504-1121
4008 100 70310	504-1150
4008 100 70320	504-1182
4008 100 70330	504-1221
4008 100 70350	504-1332
4008 100 70360	504-1392
4008 100 70370	504-1475
4008 100 70380	504-1562
4008 100 70390	504-1681
4008 100 70400	504-1825
4008 100 70410	504-2100
4008 100 70420	504-2121
4008 100 70430	504-2182
4008 100 70440	504-2221
4008 100 70450	504-2267
4008 100 70460	504-2332
4008 100 70470	504-2392
4008 100 70480	504-2475
4008 100 70490	504-2681
4008 100 70500	504-2825
4008 100 70510	504-3100
4008 100 70520	504-3121
4008 100 70530	504-3150
4008 100 70540	504-3182
4008 100 70550	504-3221
4008 100 70560	504-3267
4008 100 70570	504-3332
4008 100 70580	504-3392
4008 100 70590	504-3475
4008 100 70600	504-3562
4008 100 70610	504-3681
4008 100 70620	504-3825
4008 100 70630	504-4100
4008 100 70640	504-4121
4008 100 70650	504-4150
4008 100 70660	504-4182
4008 100 70670	504-4221
4008 100 70680	504-4267
4008 100 70690	504-4332
4008 100 70700	504-4392
4008 100 70710	504-4475
4008 100 70720	504-4562
4008 100 70730	504-4681
4008 100 70740	504-4825
4008 100 70750	504-5100
4008 100 70760	504-5121
4008 100 70770	504-5150
4008 100 70780	504-5182
4008 100 70790	504-5221
4008 100 70800	504-5267
4008 100 70810	504-5332
4008 100 70830	504-5475
4008 100 70840	504-5562
4008 100 70850	504-5681
4008 100 70860	504-5825
4008 100 70870	504-6100
4008 100 70880	504-1750
4008 100 70910	511-039
4008 100 70920	511-247
4008 100 70930	504-0220
4008 100 70940	504-1110
4008 100 70950	504-2240
4008 100 85030	212-160
4008 100 90230	235-3201
4008 100 90260	235-4101
4008 101 00660	227-6102
4008 101 00730	239-00730
4008 101 00740	239-00740
4008 101 50000	717-JMS5MH
4008 101 50010	717-JYM20H
4008 101 55000	725-V585ME07
4008 101 55010	425-TDLB7
4008 101 60030	257-3104
4008 101 60070	258-5101
4008 101 85010	265-2220251
4008 101 85030	563-115016
4008 101 85040	563-2100162
4008 101 90070	561-068020
4008 101 90080	561-147010
4008 102 00030	251-1564
4008 102 00040	251-1685
4008 102 00050	251-1823
4008 102 00060	251-2108
4008 102 00070	251-2122
4008 102 00090	251-1338
4008 102 00100	251-1394
4008 102 00110	251-1476
4008 102 00120	251-6104
4008 102 00150	251-1123
4008 102 00170	251-1183
4008 102 00180	251-2155
4008 102 00200	251-4106
4008 102 00250	251-1225
4008 102 00350	552-2474
4008 102 00360	552-3101
4008 102 00370	552-312
4008 102 10010	259-010
4008 102 10040	559-120
4008 102 20210	739-EPF6016
4008 102 20240	725-ERA6SM
4008 102 20360	442-002
4008 102 20370	753-HI3050
4008 102 20380	721-AD813
4008 102 20390	721-ADR291
4008 102 20400	743-573
4008 102 20420	721-LM3578
4008 102 20430	725-AD603
4008 102 20450	725-AD9200
4008 102 20460	711-CY7B923
4008 102 20470	739-L64780
4008 102 20480	739-L64724
4008 102 20490	725-AD7417
4008 102 20500	739-LM81
4008 102 20510	753-KM68V1000
4008 102 20540	739-ADM3491
4008 102 20550	739-ADM3311
4008 102 20560	736-32
4008 102 20570	736-08
4008 102 20590	736-573
4008 102 20600	739-LMX2326
4008 102 20610	721-AD826
4008 102 20620	753-80C321
4008 102 20640	751-EPF6016A
4008 102 20650	739-DS90LV031A
4008 102 20660	721-MAX1700
4008 102 20670	736-74LCX74DT
4008 102 20680	753-NM24C09
4008 102 20710	725-ERA1SM
4008 102 20740	725-AD828
4008 102 20750	753-M48T35Y
4008 102 20760	739-ADM706
4008 102 20830	739-TPS7101QD
4008 102 50420	421-MC1741
4008 102 50560	421-318
4008 102 50620	421-LM361
4008 102 54260	439-DS75494
4008 102 54270	453-28C17
4008 102 54280	453-5116
4008 102 55100	453-IDT7130
4008 102 55420	439-145156
4008 102 55440	451-18CV8
4008 102 55490	421-LT10865
4008 102 55630	421-MC34085
4008 102 55670	453-80C312
4008 102 56040	421-MC1496
4008 102 56290	445-86
4008 102 58020	451-8425
4008 102 58030	451-3850
4008 102 58380	439-3692
4008 102 58390	421-LT1072
4008 102 59060	444-821
4008 102 59500	425-6440
4008 102 59510	425-2030
4008 102 59660	739-DSP56001
4008 102 60110	401-2811
4008 102 60140	406-06V2
4008 102 60150	401-5082
4008 102 60180	401-KBU4
4008 102 60190	401-GBPC2502
4008 102 60340	411-VTL5C4
4008 102 60500	701-BAT1704
4008 102 60510	701-HSMP3810
4008 102 60540	401-SB360
4008 102 60560	407-TLHB4200
4008 102 60590	707-SML210LT
4008 102 60610	403-16V
4008 102 70240	413-2N3209
4008 102 70480	415-BUV26
4008 102 70490	413-BF588
4008 102 70500	713-BFG97S
4008 102 70510	713-BFG31S
4008 102 70520	401-SFH309-4
4008 102 70540	713-BF579
4008 102 70550	713-849
4008 102 70560	713-BFG194
4008 102 70570	713-BFG19S
4008 103 00880	299-710003
4008 103 00910	299-73890
4008 103 00920	299-680005
4008 103 01070	299-0327685
4008 103 01210	299-720002
4008 103 01250	299-6582401
4008 103 01270	299-658500
4008 103 01310	299-71350
4008 103 01320	299-716002
4008 103 01410	299-7240001
4008 103 01480	299-716384
4008 103 01520	299-710002
4008 103 01530	299-718432
4008 103 01540	299-712002
4008 103 01580	299-7327000
4008 103 01650	299-711052
4008 103 01740	599-7294912
4008 103 01750	599-736571429
4008 103 01760	599-727000
4008 103 01780	599-CRS06
4008 103 10030	105-LAMPE-OL327
4008 103 55290	334-59S201
4008 103 55360	334-59S101
4008 103 55460	334-29K501
4008 103 55500	306-82MCX
4008 103 55520	334-51K409
4008 103 55570	334-45K201
4008 103 55590	334-BNC51K
4008 103 55630	334-227677
4008 103 56000	306-227673
4008 103 56030	319-56030
4008 103 56140	631-29K201
4008 103 60260	311-4179107
4008 103 60340	311-4179104
4008 103 60410	311-4179106
4008 103 65980	318-0641
4008 103 66010	318-040
4008 103 66020	320-060
4008 103 66030	318-0401
4008 103 66060	318-0261
4008 103 66070	318-0262
4008 103 66090	311-027
4008 103 66110	313-0026
4008 103 66140	312-0021
4008 103 66150	312-0031
4008 103 66160	312-006
4008 103 66200	316-004
