KU    , Dato  , Tid     , EBU ,   ,     , SMPTE,  ,     ,  BW ,    ,Halogen,, Ref EBU,,     , Ref SMPTE,,   , Ref BW, ,Design, Zone,,,Ugekode,,   ,SW rev
      ,       ,         , x   ,y  ,Y    , x  ,y   ,Y    , x   ,y   ,x  ,y   ,x   ,y   ,Y    ,x   ,y   ,Y    ,x   ,y   ,RGB,  R,G,B ,R   ,G   ,B   ,    ,CertNo ,Type, Ref mon, Bem‘rkninger
042126, 990205, 11:19:59,3060,3285, 80.6,3167,3347,103.3,2785,2757,4880,3964,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,*****,  90  ,     EBU, Produktion/efter varme 1.Herfr
042126, 990205, 11:27:22,3068,3312, 81.1,3190,3364,105.6,2809,2786,4852,3978,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,*****,  90  ,     EBU, Produktion/efter varme 2.
042127, 990205, 11:28:41,3073,3288, 80.2,3181,3358,104.5,2809,2754,4876,3967,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,*****,  90  ,     EBU, Produktion/f›r varme 1.
042127, 990205, 11:38:17,3073,3309, 80.5,3183,3380,105.2,2802,2770,4888,3973,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,*****,  90  ,     EBU, Produktion/efter varme 2.
042128, 990205, 11:39:40,3065,3304, 81.7,3175,3367,105.4,2779,2778,4899,3965,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,*****,  90  ,     EBU, Produktion/efter varme 1.
042128, 990205, 11:47:39,3068,3310, 81.3,3184,3378,104.1,2786,2783,4904,3957,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,*****,  90  ,     EBU, Produktion/efter varme 2.
042129, 990205, 11:48:47,3054,3291, 80.7,3175,3367,105.7,2779,2757,4901,3973,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,*****,  90  ,     EBU, Produktion/eftyer varme 1.
000004, 990205, 11:57:19,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,2948,3198, 78.2,2984,3279,102.0,2498,2684,   ,  ,  ,  ,    ,    ,    ,    ,     ,      ,        , ref sensor
042129, 990205, 11:58:34,3062,3311, 80.6,3192,3393,105.0,2792,2777,4903,3967,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,*****,  90  ,     EBU, Produktion/efter varme 2.
042132, 990205, 11:59:48,3066,3289, 80.2,3197,3365,105.0,2821,2757,4914,3935,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,*****,  90  ,     EBU, Produktion/efter varme 1.
042132, 990205, 12:10:19,3066,3305, 80.6,3189,3380,104.7,2823,2777,4896,3952,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,*****,  90  ,     EBU, Produktion/efter varme 2.
042213, 990205, 12:11:30,3049,3297, 81.3,3171,3369,106.1,2795,2762,4923,3933,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,*****,  90  ,     EBU, Produktion/efter varme 1.
042131, 990205, 12:28:11,3070,3309, 80.6,3191,3379,105.5,2817,2775,4934,3929,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,*****,  90  ,     EBU, Produktion/efter varme 2.
000004, 990205, 12:28:51,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,2948,3198, 78.2,3002,3284,102.6,2493,2680,   ,  ,  ,  ,    ,    ,    ,    ,     ,      ,        , ref sensor
042130, 990205, 12:29:46,3105,3285, 80.9,3224,3358,104.9,2852,2759,4928,3940,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,*****,  90  ,     EBU, Produktion/efter varme 1.
042130, 990205, 12:44:55,3068,3309, 81.0,3189,3381,104.3,2821,2778,4887,3964,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,*****,  90  ,     EBU, Produktion/efter varme 2.
042133, 990205, 12:46:22,3061,3307, 80.7,3189,3382,106.2,2793,2773,4898,3964,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,*****,  90  ,     EBU, Prooduktion/efter varme 1.
000004, 990205, 13:52:31,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,2952,3194, 78.1,2983,3284,103.0,2499,2682,   ,  ,  ,  ,    ,    ,    ,    ,     ,      ,        , ref sensor
042133, 990205, 13:53:31,3071,3311, 80.5,3197,3384,105.3,2803,2783,4903,3962,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,*****,  90  ,     EBU, Produktion/efter varme 2.
042134, 990205, 13:54:43,3073,3307, 80.8,3195,3378,106.0,2805,2780,4905,3955,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,*****,  90  ,     EBU, Produktion/efter varme 1.
042134, 990205, 14:10:21,3073,3304, 80.3,3195,3384,105.3,2796,2779,4904,3954,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,*****,  90  ,     EBU, Produktion/efter varme 2.
042135, 990205, 14:11:21,3077,3301, 81.3,3201,3377,106.5,2794,2779,4910,3953,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,*****,  90  ,     EBU, Produktion/efter varme 1.
042135, 990205, 14:21:32,3066,3308, 80.3,3187,3382,105.4,2780,2781,4896,3961,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,*****,  90  ,     EBU, Produktion/efter varme 2.
021125, 990208, 13:21:01,3071,3312, 80.5,3193,3385,105.4,2792,2777,4881,3939,    ,    ,     ,    ,    ,     ,    ,    ,332,**,**,**,****,****,****,    ,*****,  92  ,     EBU, Produktion.f›r varme.
021125, 990208, 13:22:38,3069,3311, 80.6,3193,3386,105.7,2793,2778,4883,3939,    ,    ,     ,    ,    ,     ,    ,    ,332,24,24,57,0998,1398,1398,03.4,*****,  92  ,     EBU, Produktion/f›r varme.
000004, 990208, 14:21:57,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,2949,3201, 78.2,2997,3282,103.5,2500,2684,   ,  ,  ,  ,    ,    ,    ,    ,     ,      ,        , ref sensor
042136, 990208, 14:23:00,3071,3300, 81.3,3189,3371,106.6,2793,2766,4913,3928,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,*****,  90  ,     EBU, Produktion/efter varme 1.
