#Release 8.1.03i - par I.27
#Copyright (c) 1995-2005 Xilinx, Inc.  All rights reserved.

#Thu Jun 28 10:51:23 2007

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       HD_Gen_Module_map.ncd
#OUTPUT FILE:      HD_Gen_Module_pad.csv
#PART TYPE:        xc2vp20
#SPEED GRADE:      -6
#PACKAGE:          ff896
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
AC24,,,M1,,,,,,,,,,,,,
AC25,,DIFFM,IO_L35P_6,UNUSED,,6,,,,,,,,,,
AC26,,DIFFS,IO_L35N_6,UNUSED,,6,,,,,,,,,,
AC27,,DIFFM,IO_L43P_6,UNUSED,,6,,,,,,,,,,
AC28,,DIFFS,IO_L43N_6,UNUSED,,6,,,,,,,,,,
AC29,,DIFFM,IO_L45P_6,UNUSED,,6,,,,,,,,,,
AC30,,,GND,,,,,,,,,,,,,
AD1,ddr2_address<8>,IOB,IO_L42N_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AD2,ddr2_address<7>,IOB,IO_L42P_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AD3,,DIFFS,IO_L37N_3,UNUSED,,3,,,,,,,,,,
AD4,,DIFFM,IO_L37P_3,UNUSED,,3,,,,,,,,,,
AD5,,DIFFS,IO_L05N_3,UNUSED,,3,,,,,,,,,,
AD6,,DIFFM,IO_L05P_3,UNUSED,,3,,,,,,,,,,
AD7,,,PWRDWN_B,,,,,,,,,,,,,
AD8,,DIFFM,IO_L05_4/No_Pair,UNUSED,,4,,,,,,,,,,
AD9,,DIFFM,IO_L02P_4/D1,UNUSED,,4,,,,,,,,,,
AD10,,DIFFM,IO_L07P_4/VREF_4,UNUSED,,4,,,,,,,,,,
AD11,,DIFFM,IO_L37P_4,UNUSED,,4,,,,,,,,,,
AD12,,DIFFM,IO_L43P_4,UNUSED,,4,,,,,,,,,,
AD13,,DIFFM,IO_L46P_4,UNUSED,,4,,,,,,,,,,
AD14,,DIFFS,IO_L68N_4,UNUSED,,4,,,,,,,,,,
AD15,,DIFFS,IO_L73N_4,UNUSED,,4,,,,,,,,,,
AD16,,DIFFM,IO_L73P_5,UNUSED,,5,,,,,,,,,,
AD17,,DIFFM,IO_L68P_5,UNUSED,,5,,,,,,,,,,
AD18,,DIFFS,IO_L46N_5,UNUSED,,5,,,,,,,,,,
AD19,,DIFFS,IO_L43N_5,UNUSED,,5,,,,,,,,,,
AD20,,DIFFS,IO_L37N_5,UNUSED,,5,,,,,,,,,,
