Release 7.1.03i - par H.41
Copyright (c) 1995-2005 Xilinx, Inc.  All rights reserved.

#Mon Oct 10 17:19:29 2005

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       my_gt11_map.ncd
#OUTPUT FILE:      my_gt11_pad.csv
#PART TYPE:        xc4vfx20
#SPEED GRADE:      -12
#PACKAGE:          ff672
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
AD11,,IOBM,IO_L1P_8,UNUSED,,8,,,,,,,,,,
AD12,,,GND,,,,,,,,,,,,,
AD13,,LOWCAPIOB,IO_L4N_GC_VREF_LC_4,UNUSED,,4,,,,,,,,,,
AD14,,LOWCAPIOB,IO_L3N_GC_LC_4,UNUSED,,4,,,,,,,,,,
AD15,RXUSRCLK2_IN,IOB,IO_L3P_GC_LC_4,INPUT,LVCMOS25,4,,,,NONE,,,,NO,NONE,
AD16,,IOBM,IO_L4P_7,UNUSED,,7,,,,,,,,,,
AD17,,,VCCO_7,,,7,,,,,2.50,,,,,
AD18,,IOBM,IO_L16P_7,UNUSED,,7,,,,,,,,,,
AD19,TXDATA_IN<17>,IOB,IO_L22N_7,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
AD20,TXDATA_IN<19>,IOB,IO_L22P_7,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
AD21,TXDATA_IN<10>,IOB,IO_L24N_CC_LC_7,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
AD22,,,GND,,,,,,,,,,,,,
AD23,TXDATA_IN<3>,IOB,IO_L29N_7,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
AD24,TXDATA_IN<2>,IOB,IO_L29P_7,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
AD25,,,VTTXB_105,,,,,,,,,,,,,
AD26,TX1P_OUT,OPAD,TXPPADB_105,OUTPUT,,,,,,,,,,NO,NONE,
AE1,,,VTRXA_110,,,,,,,,,,,,,
AE2,,,VTTXA_110,,,,,,,,,,,,,
AE3,,,GNDA_110,,,,,,,,,,,,,
AE4,,,AVCCAUXTX_110,,,,,,,,,,,,,
AE5,,,VTTXB_110,,,,,,,,,,,,,
AE6,,,GNDA_110,,,,,,,,,,,,,
AE7,,,AVCCAUXMGT_110,,,,,,,,,,,,,
